campaign_id,campaign_month,channel,spend,trial_signups,paid_conversions
1,2022-01-01,Organic Search,1137.19,224,28
2,2022-01-01,Google Ads,15793.21,426,71
3,2022-01-01,LinkedIn Ads,16496.35,211,47
4,2022-01-01,Content Marketing,4701.25,195,39
5,2022-01-01,Email Referral,858.19,168,21
6,2022-02-01,Organic Search,1088.3,216,27
7,2022-02-01,Google Ads,14148.05,384,64
8,2022-02-01,LinkedIn Ads,18714.64,238,53
9,2022-02-01,Content Marketing,4790.24,195,39
10,2022-02-01,Email Referral,751.99,144,18
11,2022-03-01,Organic Search,1176.73,232,29
12,2022-03-01,Google Ads,15597.09,420,70
13,2022-03-01,LinkedIn Ads,17840.55,225,50
14,2022-03-01,Content Marketing,4678.85,190,38
15,2022-03-01,Email Referral,758.99,144,18
16,2022-04-01,Organic Search,1083.1,216,27
17,2022-04-01,Google Ads,16451.32,444,74
18,2022-04-01,LinkedIn Ads,17358.71,220,49
19,2022-04-01,Content Marketing,4357.25,180,36
20,2022-04-01,Email Referral,815.08,160,20
21,2022-05-01,Organic Search,1131.0,224,28
22,2022-05-01,Google Ads,15527.72,420,70
23,2022-05-01,LinkedIn Ads,18428.03,234,52
24,2022-05-01,Content Marketing,4763.02,195,39
25,2022-05-01,Email Referral,780.49,152,19
26,2022-06-01,Organic Search,1085.4,216,27
27,2022-06-01,Google Ads,14599.86,396,66
28,2022-06-01,LinkedIn Ads,17106.18,216,48
29,2022-06-01,Content Marketing,4888.2,200,40
30,2022-06-01,Email Referral,777.02,152,19
31,2022-07-01,Organic Search,1255.42,248,31
32,2022-07-01,Google Ads,14755.23,402,67
33,2022-07-01,LinkedIn Ads,16339.9,207,46
34,2022-07-01,Content Marketing,4447.77,185,37
35,2022-07-01,Email Referral,745.23,144,18
36,2022-08-01,Organic Search,1306.89,256,32
37,2022-08-01,Google Ads,13890.68,378,63
38,2022-08-01,LinkedIn Ads,16437.26,207,46
39,2022-08-01,Content Marketing,4771.49,195,39
40,2022-08-01,Email Referral,811.33,160,20
41,2022-09-01,Organic Search,1176.35,232,29
42,2022-09-01,Google Ads,13824.42,372,62
43,2022-09-01,LinkedIn Ads,18854.96,238,53
44,2022-09-01,Content Marketing,4213.1,175,35
45,2022-09-01,Email Referral,854.25,168,21
46,2022-10-01,Organic Search,1312.0,256,32
47,2022-10-01,Google Ads,14803.68,402,67
48,2022-10-01,LinkedIn Ads,18647.72,238,53
49,2022-10-01,Content Marketing,4119.41,170,34
50,2022-10-01,Email Referral,841.55,168,21
51,2022-11-01,Organic Search,1112.05,216,27
52,2022-11-01,Google Ads,15367.68,414,69
53,2022-11-01,LinkedIn Ads,18303.05,234,52
54,2022-11-01,Content Marketing,4275.17,175,35
55,2022-11-01,Email Referral,849.22,168,21
56,2022-12-01,Organic Search,1168.82,232,29
57,2022-12-01,Google Ads,15775.04,426,71
58,2022-12-01,LinkedIn Ads,17968.59,229,51
59,2022-12-01,Content Marketing,4351.42,180,36
60,2022-12-01,Email Referral,780.01,152,19
61,2023-01-01,Organic Search,1267.63,248,31
62,2023-01-01,Google Ads,15301.8,414,69
63,2023-01-01,LinkedIn Ads,17927.63,229,51
64,2023-01-01,Content Marketing,4240.67,175,35
65,2023-01-01,Email Referral,838.6,160,20
66,2023-02-01,Organic Search,1309.21,256,32
67,2023-02-01,Google Ads,15721.55,426,71
68,2023-02-01,LinkedIn Ads,18483.03,234,52
69,2023-02-01,Content Marketing,4398.6,180,36
70,2023-02-01,Email Referral,742.53,144,18
71,2023-03-01,Organic Search,1159.37,224,28
72,2023-03-01,Google Ads,13564.76,366,61
73,2023-03-01,LinkedIn Ads,19320.27,247,55
74,2023-03-01,Content Marketing,4836.1,200,40
75,2023-03-01,Email Referral,771.62,152,19
76,2023-04-01,Organic Search,1296.53,256,32
77,2023-04-01,Google Ads,13755.06,372,62
78,2023-04-01,LinkedIn Ads,18504.83,234,52
79,2023-04-01,Content Marketing,4709.79,195,39
80,2023-04-01,Email Referral,722.93,144,18
81,2023-05-01,Organic Search,1239.87,240,30
82,2023-05-01,Google Ads,13684.76,372,62
83,2023-05-01,LinkedIn Ads,17024.06,216,48
84,2023-05-01,Content Marketing,4809.12,200,40
85,2023-05-01,Email Referral,797.78,152,19
86,2023-06-01,Organic Search,1113.92,216,27
87,2023-06-01,Google Ads,16472.13,444,74
88,2023-06-01,LinkedIn Ads,19476.39,247,55
89,2023-06-01,Content Marketing,4379.38,180,36
90,2023-06-01,Email Referral,833.41,160,20
91,2023-07-01,Organic Search,1081.98,216,27
92,2023-07-01,Google Ads,15388.34,414,69
93,2023-07-01,LinkedIn Ads,18865.47,238,53
94,2023-07-01,Content Marketing,4135.83,170,34
95,2023-07-01,Email Referral,794.87,152,19
96,2023-08-01,Organic Search,1133.52,224,28
97,2023-08-01,Google Ads,13946.95,378,63
98,2023-08-01,LinkedIn Ads,16874.25,216,48
99,2023-08-01,Content Marketing,4375.82,180,36
100,2023-08-01,Email Referral,817.31,160,20
101,2023-09-01,Organic Search,1291.39,256,32
102,2023-09-01,Google Ads,15482.1,420,70
103,2023-09-01,LinkedIn Ads,19721.68,252,56
104,2023-09-01,Content Marketing,4935.31,205,41
105,2023-09-01,Email Referral,876.21,168,21
106,2023-10-01,Organic Search,1258.34,248,31
107,2023-10-01,Google Ads,16046.96,432,72
108,2023-10-01,LinkedIn Ads,18407.21,234,52
109,2023-10-01,Content Marketing,4897.3,200,40
110,2023-10-01,Email Referral,870.34,168,21
111,2023-11-01,Organic Search,1273.37,248,31
112,2023-11-01,Google Ads,13983.35,378,63
113,2023-11-01,LinkedIn Ads,17863.19,229,51
114,2023-11-01,Content Marketing,4640.77,190,38
115,2023-11-01,Email Referral,739.57,144,18
116,2023-12-01,Organic Search,1246.36,248,31
117,2023-12-01,Google Ads,14016.03,378,63
118,2023-12-01,LinkedIn Ads,18800.39,238,53
119,2023-12-01,Content Marketing,4185.73,170,34
120,2023-12-01,Email Referral,797.49,152,19
121,2024-01-01,Organic Search,1303.4,256,32
122,2024-01-01,Google Ads,14238.3,384,64
123,2024-01-01,LinkedIn Ads,16219.76,207,46
124,2024-01-01,Content Marketing,4784.61,195,39
125,2024-01-01,Email Referral,799.27,152,19
126,2024-02-01,Organic Search,1243.55,248,31
127,2024-02-01,Google Ads,15070.92,408,68
128,2024-02-01,LinkedIn Ads,17088.29,216,48
129,2024-02-01,Content Marketing,4658.32,190,38
130,2024-02-01,Email Referral,802.85,160,20
131,2024-03-01,Organic Search,1213.69,240,30
132,2024-03-01,Google Ads,14285.07,384,64
133,2024-03-01,LinkedIn Ads,18832.47,238,53
134,2024-03-01,Content Marketing,4143.54,170,34
135,2024-03-01,Email Referral,777.9,152,19
136,2024-04-01,Organic Search,1138.86,224,28
137,2024-04-01,Google Ads,14093.89,384,64
138,2024-04-01,LinkedIn Ads,18516.2,234,52
139,2024-04-01,Content Marketing,4547.88,185,37
140,2024-04-01,Email Referral,778.68,152,19
141,2024-05-01,Organic Search,1092.1,216,27
142,2024-05-01,Google Ads,15562.01,420,70
143,2024-05-01,LinkedIn Ads,19151.65,243,54
144,2024-05-01,Content Marketing,4087.73,170,34
145,2024-05-01,Email Referral,721.35,144,18
146,2024-06-01,Organic Search,1302.28,256,32
147,2024-06-01,Google Ads,16022.15,432,72
148,2024-06-01,LinkedIn Ads,19297.74,247,55
149,2024-06-01,Content Marketing,4377.18,180,36
150,2024-06-01,Email Referral,817.72,160,20
151,2024-07-01,Organic Search,1306.95,256,32
152,2024-07-01,Google Ads,14450.59,390,65
153,2024-07-01,LinkedIn Ads,19126.74,243,54
154,2024-07-01,Content Marketing,4341.08,180,36
155,2024-07-01,Email Referral,852.39,168,21
156,2024-08-01,Organic Search,1302.23,256,32
157,2024-08-01,Google Ads,14743.15,402,67
158,2024-08-01,LinkedIn Ads,17025.46,216,48
159,2024-08-01,Content Marketing,4810.42,200,40
160,2024-08-01,Email Referral,823.97,160,20
161,2024-09-01,Organic Search,1313.61,256,32
162,2024-09-01,Google Ads,14931.71,402,67
163,2024-09-01,LinkedIn Ads,18978.96,243,54
164,2024-09-01,Content Marketing,4287.4,175,35
165,2024-09-01,Email Referral,740.6,144,18
166,2024-10-01,Organic Search,1096.99,216,27
167,2024-10-01,Google Ads,16127.45,438,73
168,2024-10-01,LinkedIn Ads,16678.72,211,47
169,2024-10-01,Content Marketing,4910.77,200,40
170,2024-10-01,Email Referral,854.41,168,21
171,2024-11-01,Organic Search,1188.17,232,29
172,2024-11-01,Google Ads,14885.52,402,67
173,2024-11-01,LinkedIn Ads,17274.53,220,49
174,2024-11-01,Content Marketing,4420.04,180,36
175,2024-11-01,Email Referral,770.22,152,19
176,2024-12-01,Organic Search,1300.83,256,32
177,2024-12-01,Google Ads,16119.16,438,73
178,2024-12-01,LinkedIn Ads,18901.76,243,54
179,2024-12-01,Content Marketing,4527.24,185,37
180,2024-12-01,Email Referral,755.19,144,18
181,2025-01-01,Organic Search,1245.45,248,31
182,2025-01-01,Google Ads,15248.7,414,69
183,2025-01-01,LinkedIn Ads,16812.6,216,48
184,2025-01-01,Content Marketing,4739.05,195,39
185,2025-01-01,Email Referral,761.16,152,19
186,2025-02-01,Organic Search,1318.37,256,32
187,2025-02-01,Google Ads,15852.33,432,72
188,2025-02-01,LinkedIn Ads,17112.7,216,48
189,2025-02-01,Content Marketing,4526.57,185,37
190,2025-02-01,Email Referral,843.25,168,21
191,2025-03-01,Organic Search,1255.79,248,31
192,2025-03-01,Google Ads,14632.06,396,66
193,2025-03-01,LinkedIn Ads,19596.68,247,55
194,2025-03-01,Content Marketing,4156.76,170,34
195,2025-03-01,Email Referral,743.75,144,18
196,2025-04-01,Organic Search,1152.02,224,28
197,2025-04-01,Google Ads,14895.49,402,67
198,2025-04-01,LinkedIn Ads,17310.55,220,49
199,2025-04-01,Content Marketing,4338.49,180,36
200,2025-04-01,Email Referral,819.55,160,20
201,2025-05-01,Organic Search,1144.45,224,28
202,2025-05-01,Google Ads,15990.04,432,72
203,2025-05-01,LinkedIn Ads,19765.83,252,56
204,2025-05-01,Content Marketing,4724.48,195,39
205,2025-05-01,Email Referral,877.01,168,21
206,2025-06-01,Organic Search,1102.07,216,27
207,2025-06-01,Google Ads,14348.71,390,65
208,2025-06-01,LinkedIn Ads,19355.04,247,55
209,2025-06-01,Content Marketing,4930.65,205,41
210,2025-06-01,Email Referral,834.8,160,20
211,2025-07-01,Organic Search,1165.39,232,29
212,2025-07-01,Google Ads,15821.56,426,71
213,2025-07-01,LinkedIn Ads,16917.77,216,48
214,2025-07-01,Content Marketing,4610.1,190,38
215,2025-07-01,Email Referral,793.04,152,19
216,2025-08-01,Organic Search,1220.24,240,30
217,2025-08-01,Google Ads,14598.03,396,66
218,2025-08-01,LinkedIn Ads,19338.22,247,55
219,2025-08-01,Content Marketing,4844.09,200,40
220,2025-08-01,Email Referral,786.37,152,19
221,2025-09-01,Organic Search,1264.79,248,31
222,2025-09-01,Google Ads,14233.09,384,64
223,2025-09-01,LinkedIn Ads,19612.26,252,56
224,2025-09-01,Content Marketing,4471.42,185,37
225,2025-09-01,Email Referral,812.38,160,20
226,2025-10-01,Organic Search,1309.53,256,32
227,2025-10-01,Google Ads,14023.87,378,63
228,2025-10-01,LinkedIn Ads,18588.98,238,53
229,2025-10-01,Content Marketing,4556.86,185,37
230,2025-10-01,Email Referral,828.34,160,20
231,2025-11-01,Organic Search,1104.59,216,27
232,2025-11-01,Google Ads,15077.54,408,68
233,2025-11-01,LinkedIn Ads,16752.54,211,47
234,2025-11-01,Content Marketing,4868.59,200,40
235,2025-11-01,Email Referral,758.08,144,18
236,2025-12-01,Organic Search,1167.59,232,29
237,2025-12-01,Google Ads,14883.71,402,67
238,2025-12-01,LinkedIn Ads,18718.28,238,53
239,2025-12-01,Content Marketing,4578.29,190,38
240,2025-12-01,Email Referral,815.1,160,20
